Time,Air Flow Rate,HF-N,HF-E,HF-S,HF-W,NG Flow Rate,HRR_ideal,HRR_cal,K_smoke,T_duct,rho_duct,V_duct,MF_duct,O2_duct_dry,CO2_duct_dry,CO_duct_dry,H2O_duct,H2O_amb,RH,T_amb,Hydrogen Cyanide,U_Hydrogen Cyanide,Sulfur Dioxide,U_Sulfur Dioxide,Hydrogen Chloride,U_Hydrogen Chloride,Hydrogen Fluoride,U_Hydrogen Fluoride,Hydrogen Bromide,U_Hydrogen Bromide,Acrolein,U_Acrolein,Formaldehyde,U_Formaldehyde,Nitric Oxide,U_Nitric Oxide,Nitrogen Dioxide,U_Nitrogen Dioxide,Ammonia,U_Ammonia,Methane,U_Methane,Water_%,U_Water_%,Ethene,U_Ethene,Propene,U_Propene,Carbon Dioxide_Low,U_Carbon Dioxide_Low,Ethane,U_Ethane,Propane,U_Propane,Acetylene,U_Acetylene,"1,3-Butadiene","U_1,3-Butadiene",IsoButene,U_IsoButene,n-Pentane,U_n-Pentane,Ethanol,U_Ethanol,Nitrous Oxide,U_Nitrous Oxide,NOx,U_NOx
s,L/min,kW/m2,kW/m2,kW/m2,kW/m2,L/min,kW,kW,1/m,C,kg/m3,m/s,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,%,C,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
-10,0.0,0.007,0.007,-0.002,0.004,0.7,0.4,0.2,0.000781,20.0,1.20,9.33,2.04,0.209442,0.000442,0.000002,0.00775,0.012647,45.0,25.7,-0.042,0.282,3.414,14.999,0.001,0.347,-1.189,0.731,0.027,0.183,-3.414,8.803,-0.002,0.153,-0.323,2.507,-0.239,3.413,0.050,0.103,1.289,2.187,1.000,0.085,-0.066,0.104,0.277,0.367,497.121,8.592,-0.044,0.192,1.976,0.235,-3.180,8.809,-0.032,0.248,-0.007,0.187,-0.088,0.103,0.122,0.097,0.301,0.051,-0.561,0.000
0,0.0,0.007,0.008,0.006,0.006,1.2,0.7,0.1,0.000758,20.0,1.19,9.27,2.03,0.209442,0.000445,0.000002,0.007753,0.012647,45.0,25.7,-0.015,0.006,-0.153,0.018,0.047,0.011,0.078,-0.086,0.043,-0.003,0.290,-0.067,-0.034,0.001,0.075,-0.018,-0.579,-0.024,-0.018,-0.004,-0.114,0.033,-0.008,0.002,0.014,-0.002,0.125,-0.008,7.603,0.025,0.070,-0.001,1.267,-0.002,0.005,0.003,-0.057,-0.002,-0.032,-0.002,-0.070,-0.001,0.021,0.002,-0.008,0.004,-0.504,0.000
10,0.0,0.383,0.354,0.123,0.122,131.1,77.6,1.3,0.001298,23.6,1.18,9.43,2.04,0.209405,0.000461,0.000002,0.00777,0.012582,45.0,25.7,0.009,0.003,0.072,-0.201,-0.039,0.001,-0.177,0.039,-0.005,0.002,-0.685,0.084,-0.015,-0.001,0.163,0.004,0.715,-0.038,-0.007,-0.002,0.229,-0.009,0.007,0.001,0.024,-0.003,-0.100,-0.011,155.130,3.145,0.034,0.002,0.554,0.002,-0.004,-0.001,-0.025,-0.001,0.008,-0.001,-0.024,0.001,0.004,0.000,-0.016,0.004,0.878,0.000
20,0.0,0.268,0.261,0.083,0.086,83.4,49.4,0.6,0.000993,28.9,1.16,9.57,2.03,0.209423,0.000474,0.000002,0.007844,0.012594,45.0,25.7,0.001,0.008,0.023,-0.018,-0.072,-0.019,-0.034,0.110,0.022,0.003,-1.241,0.202,-0.033,0.002,0.080,0.028,-0.597,0.076,-0.001,0.001,0.208,0.060,0.032,0.002,-0.014,0.002,-0.157,0.009,371.762,7.000,0.036,0.004,0.220,0.005,0.131,0.077,-0.016,-0.002,-0.079,-0.001,-0.006,0.002,0.008,0.000,-0.003,0.000,-0.516,0.000
30,0.0,0.305,0.311,0.097,0.094,84.9,50.3,52.4,0.001314,30.9,1.15,9.49,2.00,0.20771,0.001579,0.000002,0.008474,0.012655,45.0,25.7,-0.012,0.009,0.102,0.268,0.012,0.022,-0.025,0.071,0.005,0.001,0.356,0.119,-0.005,0.002,0.246,0.104,0.701,0.107,0.011,0.002,-0.067,0.076,0.050,0.003,-0.017,0.000,0.014,0.001,423.713,8.155,0.033,0.003,-0.011,0.003,0.116,0.161,0.037,0.006,-0.036,0.004,-0.003,0.001,0.008,0.000,-0.004,0.000,0.947,0.000
40,0.0,0.312,0.317,0.099,0.096,88.8,52.6,54.3,0.001583,32.3,1.15,9.43,1.98,0.2077,0.001387,0.000002,0.008925,0.012609,45.0,25.7,-0.037,0.016,0.250,0.306,-0.030,0.001,-0.080,0.010,0.011,0.007,0.654,0.227,0.045,0.000,0.102,0.111,0.612,0.008,0.020,-0.002,-0.268,0.134,0.057,0.005,0.013,0.001,0.015,0.004,446.488,8.815,-0.020,0.005,-0.085,0.006,0.137,0.240,0.011,0.001,-0.010,0.001,0.002,0.003,0.019,0.003,0.001,0.004,0.714,0.000
50,0.0,0.313,0.299,0.103,0.092,83.9,49.7,52.8,0.001195,33.3,1.14,9.48,1.98,0.20773,0.001381,0.000002,0.009107,0.012639,45.0,25.7,-0.038,0.018,0.016,0.355,0.050,-0.017,0.025,-0.075,-0.003,0.005,-0.791,0.248,0.036,0.003,0.311,0.155,0.335,0.042,0.020,-0.003,-0.244,0.160,0.087,0.006,0.009,-0.002,-0.045,-0.006,460.800,9.175,-0.023,0.005,-0.169,0.007,0.107,0.249,0.036,0.003,-0.079,0.002,0.006,0.003,0.025,0.002,-0.003,0.002,0.646,0.000
60,0.0,0.312,0.294,0.100,0.096,83.7,49.6,52.9,0.001398,34.0,1.14,9.57,2.00,0.207698,0.001394,0.000002,0.009199,0.012638,45.0,25.7,-0.007,0.011,0.086,0.482,0.012,0.004,-0.124,0.000,0.035,0.007,-0.193,0.238,0.016,0.004,0.177,0.117,0.087,0.013,0.012,-0.001,-0.310,0.175,0.097,0.004,0.023,0.000,-0.144,0.000,459.775,9.322,-0.041,0.005,-0.155,0.006,0.110,0.268,-0.051,-0.006,0.005,-0.005,0.017,0.003,0.005,0.000,-0.005,0.007,0.265,0.000
70,0.0,0.301,0.297,0.107,0.096,83.8,49.6,53.6,0.001522,35.0,1.14,9.65,2.01,0.20769,0.001401,0.000002,0.009255,0.012626,45.0,25.7,-0.003,0.028,0.088,0.410,0.103,0.016,0.008,-0.001,-0.027,0.005,0.152,0.346,-0.010,0.005,0.196,0.141,0.633,0.023,-0.044,0.007,-0.204,0.190,0.085,0.009,0.008,0.000,-0.034,0.001,478.775,9.514,-0.035,0.008,-0.162,0.009,0.132,0.283,0.010,-0.015,-0.021,-0.012,-0.001,0.004,0.022,0.001,-0.003,0.003,0.830,0.000
80,0.0,0.306,0.300,0.103,0.094,83.8,49.6,54.8,0.001642,35.2,1.14,9.58,1.99,0.207657,0.001427,0.000002,0.0093,0.012713,45.0,25.7,0.020,0.032,0.019,0.482,0.034,0.019,-0.093,0.017,0.027,0.002,1.036,0.220,-0.007,0.005,0.227,0.115,0.360,0.077,-0.026,0.003,-0.233,0.208,0.098,0.010,0.017,0.000,-0.094,-0.002,472.388,9.310,-0.037,0.005,-0.188,0.006,0.121,0.312,0.052,-0.003,0.002,-0.002,0.005,0.003,-0.005,0.001,0.000,-0.002,0.587,0.000
90,0.0,0.313,0.301,0.100,0.098,83.9,49.7,56.4,0.001249,35.6,1.13,9.63,2.00,0.207602,0.001451,0.000002,0.009343,0.012735,45.0,25.7,-0.043,0.029,-0.013,0.505,0.065,-0.035,0.013,0.021,0.061,0.001,-0.376,0.158,0.018,0.003,0.037,0.167,0.090,0.112,-0.004,0.002,-0.159,0.205,0.084,0.009,-0.007,0.001,-0.037,0.005,468.388,9.112,-0.012,0.003,-0.194,0.004,0.109,0.271,0.055,0.003,-0.011,0.003,-0.005,0.002,0.017,0.002,-0.005,0.008,0.126,0.000
100,0.0,0.305,0.304,0.096,0.097,88.6,52.5,53.7,0.00133,35.8,1.13,9.58,1.99,0.207685,0.001413,0.000002,0.009345,0.012695,45.0,25.7,0.044,0.012,-0.029,0.499,-0.051,-0.003,-0.082,-0.018,0.005,0.003,0.269,0.166,0.009,0.003,0.205,0.183,-0.372,-0.001,0.005,-0.005,-0.285,0.162,0.100,0.004,0.001,-0.001,0.089,-0.005,467.425,9.252,-0.023,0.004,-0.215,0.004,0.086,0.291,-0.014,0.004,-0.053,0.003,0.005,0.002,0.052,0.003,-0.011,-0.004,-0.167,0.000
110,0.0,0.316,0.301,0.115,0.100,89.7,53.1,53.5,0.001379,36.2,1.13,9.58,1.99,0.207689,0.001409,0.000002,0.009345,0.012654,45.0,25.7,-0.010,0.012,0.090,0.520,0.014,0.016,-0.126,0.036,0.006,0.003,-1.463,0.185,0.000,0.002,0.274,0.179,0.140,0.005,-0.022,0.001,-0.194,0.193,0.103,0.004,-0.004,-0.002,0.089,-0.007,468.513,9.077,0.021,0.004,-0.172,0.005,0.102,0.286,-0.071,-0.005,-0.049,-0.004,-0.010,0.002,0.046,0.001,-0.004,0.003,0.414,0.000
120,0.0,0.307,0.304,0.119,0.099,85.9,50.8,54.5,0.001765,36.5,1.13,9.68,2.01,0.207655,0.001418,0.000002,0.009359,0.012612,45.0,25.7,-0.015,0.023,-0.014,0.579,0.014,0.022,-0.314,0.052,-0.016,0.006,0.859,0.219,-0.017,0.006,0.293,0.181,-0.220,-0.033,-0.048,-0.004,-0.335,0.156,0.095,0.007,0.001,-0.002,0.031,-0.009,468.787,8.977,-0.007,0.005,-0.213,0.006,0.141,0.289,-0.015,0.000,0.012,0.000,0.004,0.003,0.032,0.002,-0.012,0.003,0.072,0.000
130,0.0,0.311,0.300,0.114,0.103,83.6,49.5,54.0,0.001481,36.5,1.13,9.62,1.99,0.207669,0.001418,0.000002,0.009372,0.012595,45.0,25.7,0.007,0.017,0.136,0.537,0.071,-0.007,0.021,-0.020,-0.047,0.004,0.070,0.119,0.011,0.005,0.413,0.169,-0.610,-0.017,-0.002,-0.001,-0.437,0.180,0.089,0.005,-0.005,0.000,-0.091,-0.002,463.950,8.826,-0.039,0.003,-0.201,0.003,0.109,0.288,-0.056,0.003,-0.034,0.003,-0.002,0.001,0.035,0.001,-0.004,0.001,-0.197,0.000
140,0.0,0.309,0.310,0.117,0.103,83.2,49.3,54.0,0.001744,36.5,1.13,9.64,2.00,0.207681,0.001411,0.000002,0.009372,0.012615,45.0,25.7,-0.025,0.033,-0.005,0.541,0.108,-0.011,-0.266,0.054,0.004,0.005,-0.991,0.104,0.020,0.003,0.042,0.206,-0.079,0.051,0.028,-0.003,-0.255,0.190,0.112,0.010,0.021,-0.003,-0.021,-0.010,468.312,8.572,-0.006,0.002,-0.225,0.003,0.093,0.271,0.027,0.000,-0.016,0.000,0.010,0.001,0.038,0.001,-0.011,0.008,-0.037,0.000
150,0.0,0.319,0.303,0.119,0.107,84.2,49.8,53.1,0.001779,36.6,1.13,9.70,2.01,0.207695,0.001403,0.000002,0.009369,0.012661,45.0,25.7,-0.049,0.013,-0.006,0.477,0.088,-0.042,-0.189,0.021,-0.012,0.005,0.062,0.203,-0.012,0.003,0.204,0.135,0.548,0.078,-0.014,-0.003,-0.328,0.175,0.105,0.004,-0.052,0.000,-0.065,-0.002,471.662,8.542,-0.060,0.004,-0.233,0.005,0.108,0.271,-0.080,0.000,-0.026,0.000,0.016,0.002,0.043,0.001,0.012,0.002,0.752,0.000
160,0.0,0.320,0.302,0.125,0.109,83.8,49.6,52.9,0.001856,36.6,1.13,9.78,2.03,0.207715,0.001393,0.000002,0.009354,0.012731,45.0,25.7,-0.010,0.022,-0.038,0.553,0.049,-0.015,-0.086,-0.038,0.033,0.004,-0.096,0.199,0.038,0.002,0.248,0.194,-0.184,0.013,-0.031,-0.001,-0.356,0.154,0.103,0.007,0.007,-0.001,0.007,-0.005,460.387,7.899,-0.046,0.004,-0.207,0.005,0.112,0.258,-0.067,-0.001,-0.004,-0.001,0.014,0.002,0.023,0.002,-0.022,0.009,0.064,0.000
170,0.0,0.329,0.313,0.130,0.111,84.1,49.8,53.2,0.001642,36.6,1.13,9.82,2.03,0.207722,0.001386,0.000002,0.009339,0.012794,45.0,25.7,-0.004,0.027,-0.124,0.515,-0.028,-0.044,0.100,0.096,0.049,0.001,0.945,0.256,0.001,0.002,0.261,0.199,-0.309,0.045,-0.001,0.001,-0.305,0.168,0.078,0.008,-0.007,0.002,0.001,0.006,454.200,7.984,-0.030,0.006,-0.248,0.007,0.120,0.269,-0.029,-0.002,-0.007,-0.002,0.025,0.003,0.043,0.001,-0.015,0.004,-0.048,0.000
180,0.0,0.319,0.317,0.123,0.109,84.1,49.8,52.8,0.001772,37.0,1.13,9.77,2.02,0.207741,0.001375,0.000002,0.009332,0.012846,45.0,25.7,0.048,0.012,0.091,0.622,0.043,-0.032,-0.017,-0.030,0.047,0.003,1.233,0.197,-0.002,0.004,0.168,0.127,0.370,0.073,0.005,-0.003,-0.326,0.153,0.109,0.004,-0.015,0.000,-0.178,-0.002,461.863,7.988,-0.006,0.004,-0.235,0.005,0.078,0.256,-0.006,0.005,-0.046,0.004,0.011,0.002,0.048,0.000,0.007,-0.004,0.538,0.000
190,0.0,0.335,0.321,0.119,0.114,88.2,52.3,53.8,0.001818,37.2,1.13,9.60,1.99,0.207714,0.001386,0.000002,0.009339,0.012828,45.0,25.7,-0.003,0.014,0.184,0.690,0.017,-0.004,0.016,0.073,-0.020,0.004,0.204,0.169,0.018,0.004,0.287,0.134,0.175,0.113,-0.011,-0.005,-0.324,0.179,0.092,0.004,0.009,-0.003,-0.086,-0.011,466.388,7.713,-0.035,0.004,-0.178,0.005,0.121,0.255,0.000,-0.004,-0.023,-0.003,0.002,0.002,0.067,0.004,-0.004,0.004,0.462,0.000
200,0.0,0.325,0.305,0.122,0.113,88.1,52.2,54.4,0.001945,37.3,1.13,9.66,2.00,0.207677,0.001408,0.000002,0.009362,0.012775,45.0,25.7,-0.007,0.029,0.009,0.629,0.019,-0.004,-0.021,0.019,0.011,0.002,-1.321,0.141,0.003,0.003,0.061,0.178,-0.405,-0.028,-0.065,-0.005,-0.227,0.158,0.097,0.009,-0.001,-0.003,-0.031,-0.010,466.275,7.674,-0.044,0.003,-0.226,0.004,0.101,0.248,-0.038,0.004,-0.060,0.003,0.007,0.002,0.035,0.004,-0.021,0.003,-0.344,0.000
210,0.0,0.328,0.309,0.128,0.116,86.4,51.2,54.1,0.001835,37.3,1.13,9.68,2.00,0.207667,0.001413,0.000002,0.009366,0.012745,45.0,25.7,0.023,0.015,0.200,0.507,-0.043,-0.018,0.029,-0.023,-0.045,0.006,0.877,0.156,-0.010,0.005,0.221,0.168,0.447,0.109,-0.008,-0.004,-0.388,0.193,0.093,0.005,0.034,-0.004,0.017,-0.013,465.000,7.676,-0.025,0.003,-0.179,0.004,0.102,0.276,-0.042,-0.003,-0.028,-0.002,0.002,0.002,0.048,0.003,-0.002,0.008,0.667,0.000
220,0.0,0.345,0.315,0.129,0.115,83.8,49.6,52.7,0.001879,37.5,1.13,9.81,2.03,0.20771,0.001398,0.000002,0.009357,0.012734,45.0,25.7,-0.026,0.021,-0.126,0.578,0.020,-0.011,-0.046,0.089,-0.016,0.005,0.662,0.103,0.002,0.004,0.283,0.148,0.319,-0.084,-0.007,0.000,-0.302,0.185,0.110,0.006,0.009,0.000,-0.009,-0.001,470.600,7.978,-0.007,0.002,-0.236,0.003,0.113,0.260,-0.066,0.009,0.010,0.007,0.015,0.001,0.061,0.001,-0.015,0.003,0.602,0.000
230,0.0,0.324,0.322,0.117,0.114,83.6,49.5,54.4,0.001963,37.7,1.13,9.74,2.01,0.20767,0.001419,0.000002,0.009365,0.012723,45.0,25.7,0.017,0.017,0.183,0.378,0.038,-0.011,0.116,0.001,-0.029,0.007,0.616,-0.046,0.013,0.003,0.214,0.058,-0.242,0.045,-0.002,-0.005,-0.293,0.149,0.103,0.005,-0.014,-0.003,-0.005,-0.011,468.589,7.969,-0.014,-0.001,-0.246,-0.001,0.134,0.269,-0.052,-0.002,-0.051,-0.001,0.017,-0.001,0.052,0.005,0.013,0.001,-0.028,0.000
240,0.0,0.333,0.322,0.110,0.114,83.6,49.5,54.2,0.001754,37.9,1.13,9.75,2.01,0.20769,0.001415,0.000002,0.009374,0.012702,45.0,25.7,0.023,0.015,-0.118,0.573,0.173,-0.021,0.049,0.023,0.004,0.002,-1.166,0.254,-0.029,0.005,0.284,0.129,0.635,-0.016,-0.048,0.002,-0.411,0.169,0.112,0.005,0.041,0.000,0.032,-0.001,469.875,8.083,-0.029,0.006,-0.224,0.007,0.125,0.238,0.021,-0.001,0.034,-0.001,0.015,0.003,0.064,0.002,0.004,0.004,0.920,0.000
250,0.0,0.331,0.318,0.119,0.114,83.5,49.4,54.2,0.002254,37.9,1.13,9.82,2.03,0.207672,0.001412,0.000002,0.009375,0.012717,45.0,25.7,0.018,0.013,0.136,0.630,-0.035,0.011,0.073,0.013,0.028,0.003,1.117,0.430,0.012,0.007,0.282,0.078,-0.002,0.048,-0.017,-0.002,-0.442,0.175,0.105,0.004,-0.024,-0.002,-0.043,-0.008,464.788,8.718,-0.040,0.009,-0.203,0.011,0.096,0.307,0.024,-0.004,-0.038,-0.003,0.011,0.005,0.052,0.001,-0.011,0.006,0.280,0.000
260,0.0,0.330,0.329,0.123,0.114,83.2,49.3,55.0,0.001869,37.9,1.13,9.75,2.01,0.20766,0.001414,0.000002,0.009382,0.012767,45.0,25.7,-0.002,0.028,-0.079,0.369,-0.047,-0.025,-0.059,0.012,0.002,0.006,0.819,0.197,0.009,0.005,0.204,0.126,-0.337,0.003,-0.044,-0.002,-0.170,0.189,0.103,0.009,0.003,-0.001,-0.089,-0.004,458.475,8.453,0.009,0.004,-0.235,0.005,0.119,0.261,-0.135,0.012,-0.053,0.009,0.008,0.002,0.049,0.002,-0.019,0.007,-0.133,0.000
270,48.2,0.355,0.354,0.130,0.124,83.7,49.6,53.6,0.002044,37.9,1.13,9.63,1.99,0.207712,0.001395,0.000002,0.009373,0.012791,45.0,25.7,-0.061,0.016,0.189,0.258,-0.076,-0.013,-0.037,-0.065,-0.014,0.002,-0.076,0.171,0.029,0.003,0.308,0.125,1.046,0.054,0.010,-0.001,-0.117,0.180,0.100,0.005,-0.015,0.000,-0.068,0.000,461.050,8.330,-0.026,0.004,-0.226,0.005,0.105,0.261,0.003,0.001,0.003,0.001,0.015,0.002,0.040,0.004,-0.005,0.002,1.354,0.000
280,198.4,0.257,0.241,0.090,0.093,83.9,49.7,52.0,0.001406,39.2,1.12,9.71,1.99,0.207734,0.001382,0.000002,0.009356,0.012827,45.0,25.7,0.001,0.031,-0.018,0.489,0.029,0.014,-0.121,-0.010,0.015,0.006,-1.712,0.212,0.018,0.003,0.196,0.207,0.068,0.025,0.002,-0.007,-0.152,0.209,0.101,0.009,0.038,-0.005,-0.089,-0.017,500.462,9.720,-0.046,0.005,-0.217,0.006,0.155,0.246,-0.010,0.002,-0.001,0.002,0.012,0.002,0.052,0.001,-0.005,-0.001,0.264,0.000
290,198.4,0.255,0.244,0.088,0.088,83.8,49.6,55.0,0.000985,39.3,1.12,9.80,2.01,0.20762,0.001503,0.000002,0.00942,0.012827,45.0,25.7,0.048,0.018,0.007,0.492,0.007,0.018,-0.123,-0.026,0.015,0.004,-0.529,0.207,0.004,0.005,0.114,0.101,0.377,0.020,-0.010,-0.003,-0.402,0.180,0.103,0.006,-0.013,-0.003,0.033,-0.010,486.400,8.813,-0.041,0.005,-0.240,0.006,0.158,0.243,0.042,-0.008,-0.036,-0.006,0.024,0.002,0.033,0.003,-0.009,-0.001,0.490,0.000
300,198.4,0.255,0.246,0.108,0.090,83.8,49.6,61.4,0.001006,39.3,1.12,9.70,1.99,0.20744,0.001518,0.000002,0.009479,0.01278,45.0,25.7,0.035,0.014,0.131,0.555,0.020,0.006,0.102,-0.045,0.051,0.006,-1.104,0.251,0.084,0.003,0.236,0.157,0.555,0.046,0.013,-0.006,-0.108,0.174,0.095,0.005,-0.007,-0.004,0.084,-0.014,469.988,9.213,-0.021,0.005,-0.228,0.007,0.142,0.293,0.042,0.005,0.001,0.004,0.017,0.003,0.042,0.003,-0.009,0.011,0.791,0.000
310,198.4,0.258,0.259,0.098,0.095,84.1,49.8,53.9,0.000885,39.4,1.12,9.65,1.98,0.20769,0.001417,0.000002,0.009425,0.012728,45.0,25.7,-0.007,0.025,0.037,0.597,0.044,-0.036,0.086,-0.075,0.010,0.003,-0.215,0.203,-0.017,0.004,0.123,0.145,-0.051,-0.007,-0.036,-0.006,-0.254,0.171,0.088,0.008,0.022,-0.002,-0.017,-0.006,467.500,9.364,-0.032,0.004,-0.237,0.005,0.065,0.276,-0.051,-0.002,-0.020,-0.001,0.025,0.002,0.043,0.002,0.002,-0.003,0.072,0.000
320,198.4,0.260,0.248,0.093,0.093,83.6,49.5,53.1,0.001196,39.5,1.12,9.68,1.99,0.2077,0.001401,0.000002,0.009394,0.012667,45.0,25.7,0.027,0.025,0.124,0.511,0.156,0.024,-0.104,-0.029,0.032,0.004,0.526,0.363,0.015,0.004,0.072,0.085,0.700,0.034,-0.024,-0.001,-0.254,0.163,0.109,0.008,-0.001,-0.001,0.091,-0.002,463.700,9.357,-0.015,0.008,-0.212,0.010,0.133,0.244,-0.055,-0.002,-0.056,-0.001,0.006,0.004,0.027,0.001,0.006,-0.001,0.772,0.000
330,198.4,0.269,0.265,0.098,0.096,83.8,49.6,53.8,0.001331,39.4,1.12,9.67,1.99,0.207669,0.001411,0.000002,0.00939,0.012662,45.0,25.7,-0.010,0.019,0.036,0.489,0.025,-0.018,-0.044,-0.028,0.004,0.001,-0.339,0.281,0.016,0.003,0.346,0.140,0.527,0.075,-0.033,0.001,-0.201,0.210,0.113,0.006,0.029,0.000,-0.072,-0.001,463.837,9.713,-0.021,0.006,-0.239,0.007,0.124,0.292,0.007,-0.002,-0.049,-0.002,0.028,0.003,0.032,0.002,-0.002,-0.001,0.873,0.000
340,198.4,0.260,0.258,0.092,0.094,83.7,49.6,53.3,0.001296,39.3,1.12,9.72,2.00,0.207685,0.001404,0.000002,0.009384,0.012659,45.0,25.7,-0.041,0.030,0.086,0.351,0.005,0.013,0.013,-0.006,0.014,0.002,1.164,0.366,-0.011,0.005,0.214,0.087,0.214,0.056,0.012,-0.001,-0.289,0.208,0.103,0.009,-0.016,-0.001,0.023,-0.003,460.950,9.655,-0.001,0.008,-0.232,0.010,0.133,0.269,-0.073,-0.002,0.015,-0.001,0.013,0.004,0.062,0.002,-0.014,0.010,0.428,0.000
350,198.4,0.256,0.257,0.098,0.096,83.1,49.2,53.1,0.00137,39.6,1.12,9.66,1.98,0.207701,0.001397,0.000002,0.009376,0.012705,45.0,25.7,-0.052,0.037,0.027,0.497,-0.004,0.009,-0.114,0.005,0.048,0.005,-1.315,0.302,-0.010,0.003,0.045,0.148,-0.146,0.075,-0.014,-0.001,-0.231,0.165,0.095,0.011,-0.016,-0.001,0.109,-0.004,466.288,9.970,-0.022,0.007,-0.241,0.008,0.116,0.263,0.023,0.006,-0.026,0.004,0.020,0.004,0.056,0.002,-0.011,0.004,-0.101,0.000
360,198.4,0.247,0.252,0.114,0.095,83.5,49.5,53.4,0.001471,39.7,1.12,9.83,2.02,0.207688,0.001403,0.000002,0.009377,0.012768,45.0,25.7,-0.054,0.019,-0.062,0.512,-0.086,-0.001,-0.052,-0.020,0.000,0.005,0.052,0.367,0.002,0.005,0.052,0.092,-0.100,-0.016,-0.015,0.000,-0.239,0.161,0.089,0.006,-0.002,-0.001,-0.039,-0.005,468.563,10.102,-0.022,0.008,-0.194,0.010,0.143,0.301,0.036,-0.003,-0.005,-0.002,0.015,0.004,0.037,0.000,-0.009,-0.005,-0.048,0.000
370,198.4,0.258,0.257,0.108,0.094,83.3,49.3,54.5,0.001433,39.8,1.12,9.85,2.02,0.207658,0.00142,0.000002,0.009389,0.012812,45.0,25.7,0.011,0.017,0.023,0.462,-0.001,-0.017,0.039,0.080,0.040,0.004,-1.038,0.262,0.006,0.005,0.167,0.118,-0.928,0.010,-0.032,-0.003,-0.293,0.203,0.109,0.005,0.002,-0.003,-0.063,-0.010,466.887,10.312,-0.001,0.006,-0.208,0.007,0.143,0.303,-0.060,0.003,-0.028,0.002,0.009,0.003,0.038,0.001,-0.007,0.001,-0.761,0.000
380,198.4,0.263,0.256,0.113,0.097,83.7,49.6,54.0,0.00114,39.8,1.12,9.82,2.01,0.207689,0.00141,0.000002,0.00939,0.012797,45.0,25.7,-0.029,0.022,-0.103,0.277,0.000,-0.010,0.078,-0.034,0.021,0.004,0.122,0.368,0.039,0.003,0.095,0.090,-0.060,-0.056,-0.001,-0.004,-0.282,0.183,0.109,0.007,0.032,-0.003,-0.066,-0.010,468.675,10.732,-0.031,0.008,-0.246,0.010,0.150,0.315,0.006,-0.006,-0.026,-0.005,0.017,0.004,0.026,0.002,-0.009,0.006,0.036,0.000
390,198.4,0.249,0.251,0.107,0.096,83.2,49.3,53.6,0.001536,40.0,1.12,9.82,2.01,0.20769,0.001407,0.000002,0.009392,0.012777,45.0,25.7,-0.023,0.021,-0.269,0.536,-0.041,0.007,0.138,0.037,-0.009,0.004,-1.854,0.243,0.005,0.001,0.309,0.137,-0.004,0.097,0.053,-0.005,-0.317,0.187,0.099,0.007,0.012,-0.003,-0.055,-0.012,469.675,10.442,-0.041,0.005,-0.192,0.006,0.148,0.317,-0.069,-0.007,-0.026,-0.006,-0.001,0.003,0.046,0.002,-0.011,-0.001,0.305,0.000
400,198.4,0.260,0.247,0.108,0.094,83.3,49.3,54.5,0.001257,40.1,1.12,9.79,2.01,0.207671,0.001415,0.000002,0.009399,0.012792,45.0,25.7,0.022,0.022,0.024,0.415,0.016,0.011,-0.002,0.043,0.059,0.004,0.753,0.279,0.046,0.004,0.193,0.187,-0.160,-0.057,-0.039,0.001,-0.314,0.202,0.117,0.007,-0.004,-0.001,-0.155,-0.003,467.537,10.649,-0.020,0.006,-0.217,0.007,0.121,0.272,-0.069,0.001,-0.094,0.001,0.014,0.003,0.038,0.002,-0.008,0.000,0.033,0.000
410,198.4,0.255,0.242,0.113,0.092,82.9,49.1,54.0,0.001282,40.1,1.12,9.68,1.98,0.207686,0.001408,0.000002,0.009393,0.01278,45.0,25.7,-0.038,0.039,0.028,0.498,-0.049,0.000,0.051,0.010,-0.040,0.001,0.249,0.215,-0.056,0.004,0.015,0.103,0.158,0.062,-0.005,-0.004,-0.250,0.191,0.088,0.012,0.000,-0.005,-0.061,-0.016,465.600,10.839,-0.016,0.005,-0.212,0.006,0.100,0.299,-0.044,0.002,-0.030,0.001,0.000,0.003,0.041,0.001,0.002,0.001,0.173,0.000
420,198.4,0.240,0.234,0.111,0.089,82.8,49.0,53.9,0.001415,40.4,1.12,9.71,1.99,0.20768,0.001409,0.000002,0.009392,0.012736,45.0,25.7,-0.027,0.032,0.255,0.399,-0.039,0.015,-0.119,0.011,0.055,0.004,-0.127,0.353,0.002,0.004,0.245,0.153,0.158,-0.012,-0.037,0.004,-0.168,0.214,0.095,0.010,0.006,0.001,-0.101,0.002,471.325,10.448,-0.029,0.008,-0.218,0.009,0.138,0.292,0.004,0.001,-0.066,0.001,0.020,0.004,0.036,0.000,-0.004,0.000,0.403,0.000
